"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Tyron Johnson","LV","22.0","340.7","2.1","1.3","7.5","0.0","0.0","47.1"
"Albert Wilson","MIA","25.1","290.4","2.2","4.6","26.1","0.1","0.1","45.2"
"Kadarius Toney","NYG","24.3","295.8","1.4","7.9","49.7","0.1","0.1","43.5"
"Richie James Jr.","SF","24.1","427.0","1.4","1.5","0.0","0.0","4.0","43.2"
"Preston Williams","MIA","20.9","280.4","2.4","0.0","0.0","0.0","0.4","42.0"
"Mohamed Sanu Sr.","SF","29.6","313.9","1.7","1.0","4.3","0.0","0.4","41.1"
"Dyami Brown","WAS","21.5","289.2","1.5","0.0","0.0","0.0","0.1","37.9"
"Byron Pringle","KC","21.3","278.7","1.7","0.0","0.0","0.0","0.1","37.9"
"Auden Tate","CIN","21.6","275.4","1.4","0.0","0.0","0.0","0.1","35.8"
"Isaiah Coulter","CHI","18.3","275.6","1.5","1.0","4.0","0.0","1.0","35.0"
"Kalif Raymond","DET","20.0","276.1","1.3","0.0","0.0","0.0","0.1","34.9"
"Scotty Miller","TB","16.8","234.5","1.5","1.8","10.0","0.1","0.1","33.9"
"N'Keal Harry","NE","18.0","222.2","1.4","0.6","3.4","0.0","0.0","31.0"
"Isaiah McKenzie","BUF","17.7","193.2","1.4","4.3","21.4","0.2","0.1","30.6"
"Freddie Swain","SEA","16.9","220.1","1.3","0.0","0.0","0.0","0.0","30.0"
"Amari Rodgers","GB","16.6","196.4","1.2","1.5","9.3","0.1","0.1","27.9"
"Willie Snead IV","CAR","18.0","207.8","1.2","0.0","0.0","0.0","0.1","27.5"
"Bisi Johnson","MIN","16.4","188.2","1.3","0.0","0.0","0.0","0.0","26.4"
"Devin Duvernay","BAL","14.7","172.1","1.0","1.9","12.5","0.0","0.1","24.5"
"Tutu Atwell","LAR","14.2","180.6","1.0","0.0","0.0","0.0","0.1","23.9"
"Ty Montgomery","NO","13.2","137.8","0.9","8.6","39.2","0.1","0.1","23.2"
"Simi Fehoko","DAL","12.8","176.3","0.9","0.0","0.0","0.0","0.1","23.2"
"Collin Johnson","NYG","12.3","162.7","0.9","1.0","6.1","0.0","0.0","22.6"
"Ihmir Smith-Marsette","MIN","12.2","158.5","1.0","0.0","0.0","0.0","0.0","22.0"
"Dede Westbrook","MIN","13.5","152.1","1.0","0.5","2.4","0.0","0.1","21.1"
"Zay Jones","LV","13.0","168.7","0.7","0.0","0.0","0.0","0.0","21.0"
"Javon Wims","LV","13.1","152.0","0.9","0.0","0.0","0.0","0.0","20.8"
"Greg Ward","PHI","16.3","167.4","0.7","0.3","1.5","0.0","0.1","20.7"
"Tylan Wallace","BAL","11.5","142.7","0.9","0.0","0.0","0.0","0.0","19.7"
"Jamal Agnew","JAC","8.5","104.3","0.5","6.2","33.9","0.2","0.1","18.1"
"Jakeem Grant Sr.","CHI","8.8","96.5","0.4","11.7","56.5","0.1","0.0","18.1"
"Miles Boykin","BAL","9.7","123.6","0.9","0.0","0.0","0.0","0.0","18.0"
"Marquise Goodwin","CHI","10.1","134.7","0.7","0.0","0.0","0.0","0.0","17.7"
"Dez Fitzpatrick","TEN","11.0","174.0","0.0","0.0","0.0","0.0","0.0","17.4"
"Christian Blake","ATL","12.4","145.1","0.5","0.0","0.0","0.0","0.1","17.4"
"Andy Isabella","ARI","9.6","130.7","0.7","0.0","0.0","0.0","0.0","17.3"
"Trinity Benson","DET","10.9","136.6","0.6","0.0","0.0","0.0","0.1","17.2"
"K.J. Osborn","MIN","8.8","129.4","0.7","0.0","0.0","0.0","0.0","16.8"
"Chris Moore","HOU","10.5","120.8","0.7","0.0","0.0","0.0","0.0","16.3"
"Phillip Dorsett II","SEA","9.8","115.5","0.7","0.0","0.0","0.0","0.0","15.9"
"Cam Sims","WAS","8.3","108.9","0.6","0.7","3.7","0.0","0.0","15.2"
"Trent Sherfield","SF","9.2","117.0","0.6","0.0","0.0","0.0","0.0","15.1"
"Braxton Berrios","NYJ","10.0","105.7","0.6","1.0","5.8","0.0","0.0","14.7"
"Lynn Bowden Jr.","MIA","4.8","45.1","0.4","10.4","53.6","0.4","0.0","14.3"
"Cedrick Wilson Jr.","DAL","8.5","111.5","0.5","0.0","0.0","0.0","0.0","14.0"
"Alex Erickson","CAR","8.5","100.4","0.5","0.0","0.0","0.0","0.0","13.1"
"Shi Smith","CAR","7.3","89.1","0.5","0.9","5.5","0.0","0.0","12.5"
"Frank Darby","ATL","7.7","90.3","0.6","0.0","0.0","0.0","0.0","12.4"
"KhaDarel Hodge","DET","7.2","105.1","0.3","0.0","0.0","0.0","0.0","12.3"
"Tyler Johnson","TB","6.0","85.2","0.6","0.0","0.0","0.0","0.0","11.9"
"Nick Westbrook-Ikhine","TEN","6.3","86.2","0.5","0.0","0.0","0.0","0.0","11.7"
"Jaelon Darden","TB","6.6","87.5","0.5","0.0","0.0","0.0","0.0","11.7"
"KeeSean Johnson","PHI","7.7","85.4","0.5","0.0","0.0","0.0","0.0","11.5"
"Chester Rogers","TEN","7.6","83.9","0.5","0.0","0.0","0.0","0.0","11.4"
"Noah Brown","DAL","6.5","81.3","0.5","0.0","0.0","0.0","0.0","10.9"
"DaeSean Hamilton","DEN","7.3","75.2","0.5","0.0","0.0","0.0","0.0","10.4"
